Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
309,Bischof 2010,"Negotiating uncertainty: Framing attitudes, prioritizing issues, and finding consensus in the coral reef environment management ""crisis""",Reviewer1,No,,,,,,
309,Bischof 2010,"Negotiating uncertainty: Framing attitudes, prioritizing issues, and finding consensus in the coral reef environment management ""crisis""",Reviewer2,No,,,,,,
309,Bischof 2010,"Negotiating uncertainty: Framing attitudes, prioritizing issues, and finding consensus in the coral reef environment management ""crisis""",Consensus,No,,,,,,
308,Walsh 2008,"Complexity theory, spatial simulation models, and land use dynamics in the Northern Ecuadorian Amazon",Reviewer1,Yes,Ecuador,,Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system
308,Walsh 2008,"Complexity theory, spatial simulation models, and land use dynamics in the Northern Ecuadorian Amazon",Reviewer2,Yes,Northern Ecuadorian Amazon,,Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data),Knowledge of the system
308,Walsh 2008,"Complexity theory, spatial simulation models, and land use dynamics in the Northern Ecuadorian Amazon",Consensus,Yes,Ecuador,,Other: Cellular Automata,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system
307,Silva 2018,A bottom-up methodology for long term electricity consumption forecasting of an industrial sector - Application to pulp and paper sector in Brazil,Reviewer1,No,,The paper has environmental implications but the model they applied to predict electricity consumption doesn't have any environmental elements.,,,,
307,Silva 2018,A bottom-up methodology for long term electricity consumption forecasting of an industrial sector - Application to pulp and paper sector in Brazil,Reviewer2,Yes,Brazil,Has socio-environmental implications but focused on electricity ,Other: FORECAST model plus a combination of energy efficiency measures (EEMs),No,,
307,Silva 2018,A bottom-up methodology for long term electricity consumption forecasting of an industrial sector - Application to pulp and paper sector in Brazil,Consensus,No,,The paper has environmental implications but the model they applied to predict electricity consumption doesn't have any environmental elements.,,Other: ,,
306,Wandersee 2012,"Perception and decisions in modeling coupled human and natural systems: A case study from Fanjingshan National Nature Reserve, China",Reviewer1,Yes,China,,Conceptual model (non-quantitative); Other: conceptual model plus a multiple logistic regression model,Yes, Sensitivity analysis; Other: described their uncertainty quantifications as confidence interval calculations and simulations,
